Unnamed: 0,author_id,rating,is_recommended,helpfulness,total_feedback_count,total_neg_feedback_count,total_pos_feedback_count,submission_time,review_text,review_title,skin_tone,eye_color,skin_type,hair_color,product_id,product_name,brand_name,price_usd
170000,10885752087,2,0.0,0.0,1,1,0,2018-10-17,"This is nice and lightweight, but if you have any dry/texture patches that need hydration this is not the one for you. I have super oily skin, but with dry patches around my nose and dehydration. This “moisturizer” does not do a good job at all at moisturizing. When you put it on, it is very smooth and makes your skin feel nice, but that’s it. It’s more of a “skin smoother” than a moisturizer, I feel like it doesn’t penetrate or moisturizer at all. So if you are anything but just straight up oily (just oily, not oily because your skin is actually dehydrated) then I don’t recommend it.",doesn’t penetrate or moisturize,fair,blue,oily,brown,P122900,Dramatically Different Moisturizing Gel,CLINIQUE,32.5
170001,7260126889,5,1.0,,0,0,0,2018-10-16,"I have oily skin that’s prone to acne, and I’ve tried so many moisturizers but they all break me out. I use an acne face wash which dries my face and makes it look flakey, but after I started using this my skin is so soft and plump and I don’t break out because of this. This is a good pick for you ladies with oily skin who need something to moisturize their face without breaking them out.",Game changer.,lightMedium,brown,oily,black,P122900,Dramatically Different Moisturizing Gel,CLINIQUE,32.5
170002,2642076018,5,1.0,,0,0,0,2018-10-13,"This moisturizer has changed the game for me. I use this in tandem with the toner made for oily combination skin and it is wonderful! I get very oily on my forehead, nose, chin, smile lines, and occasionally cheeks. I find that using this in the morning right after I wash my face and tone really helps with my makeup application. Generally, I mainly only use this product in the morning because at night I apply a Vitamin E oil to my face. Do not think that you need to use a lot of this to cover your entire face, 1 and a half pumps is really all you need. I prefer to blend my moisturizer in with a brush and I find that using that method with this moisturizer really ensures that all the product has been rubbed into my skin properly. I have been using this moisturizer for 4 years and I go through about 2 bottles a year. It really is a good investment into your skin. Plus, if you have a Sephora near you, you can just ask for a sample! I was able to convince my best friend to try this moisturizer and now she loves it too!",Worth the money!,lightMedium,brown,oily,brown,P122900,Dramatically Different Moisturizing Gel,CLINIQUE,32.5
170003,2263981326,5,1.0,,0,0,0,2018-10-11,"Best moisturizer for daily use, make up sits so well on it. Does not make u oily or sticky. Holy grail !!",,light,brown,combination,brown,P122900,Dramatically Different Moisturizing Gel,CLINIQUE,32.5
170004,20316631501,5,1.0,,0,0,0,2018-10-11,"it feels like water on your skin, not greasy at all and it does its work.",Perfect for oily skin,lightMedium,brown,oily,brown,P122900,Dramatically Different Moisturizing Gel,CLINIQUE,32.5
170005,12994901336,5,1.0,,0,0,0,2018-10-11,I only use this on my t zone and it keeps my foundation from getting greasy throughout the day. I really like it.,,fair,,dry,brown,P122900,Dramatically Different Moisturizing Gel,CLINIQUE,32.5
170006,5058990323,5,1.0,,0,0,0,2018-10-11,"This has been my go-to since college! I’ve tried many (MANY) others over the years, but always come back to this one. And everyone guesses my age to be much younger than I am! Win!",Classic moisturizing perfection,lightMedium,brown,combination,black,P122900,Dramatically Different Moisturizing Gel,CLINIQUE,32.5
170007,6269650427,5,1.0,,0,0,0,2018-10-08,"I used this for a week and liked how it brung my skin back to life after shaving my face trying to get rid of deadskin. I have oil skin and it really balance it out. I will be buying the bigger version, just wish it came in a larger jar size",,deep,brown,oily,black,P122900,Dramatically Different Moisturizing Gel,CLINIQUE,32.5
170008,21346110132,5,1.0,,0,0,0,2018-10-06,This product feels so good on my skin. I feel it has also helped me with my acne.,,fair,green,normal,blonde,P122900,Dramatically Different Moisturizing Gel,CLINIQUE,32.5
170009,2456943209,1,0.0,0.0,1,1,0,2018-10-04,I had high hopes for this moisturizer. I have oily skin but this lotion dried my skin out so bad. I had to apply 3  layers before my face didn’t feel tight anymore. I went back to Sephora and the helpful ladies suggested another brand which I currently like much better.,Extremely drying - even on oily skin,fairLight,blue,combination,brown,P122900,Dramatically Different Moisturizing Gel,CLINIQUE,32.5
170010,5610843682,5,1.0,,0,0,0,2018-09-29,Great for my sensitive acne prone skin,,light,blue,combination,black,P122900,Dramatically Different Moisturizing Gel,CLINIQUE,32.5
170011,9143147369,5,1.0,,0,0,0,2018-09-26,This was to replace my Mary Kay velocity gel that they don’t make anymore. I really liked this!,,fair,green,combination,brown,P122900,Dramatically Different Moisturizing Gel,CLINIQUE,32.5
170012,1759843327,1,0.0,1.0,1,0,1,2018-09-26,"I love the regular moisturizer.  I bought the gel to try, and on a trip to Colorado, it failed.  My face was dry and itchy, not soothed and calm as the regular lotion. I won’t buy this again",,fair,brown,combination,blonde,P122900,Dramatically Different Moisturizing Gel,CLINIQUE,32.5
170013,9476429003,5,1.0,,0,0,0,2018-09-24,Clinique is the only moisturizer I will use.The gel is amazing moisturizers without causing any skin irritation and is easy to work with when applying makeup,Awesome moisturizing gel,medium,brown,combination,black,P122900,Dramatically Different Moisturizing Gel,CLINIQUE,32.5
170014,20188401587,1,0.0,1.0,6,0,6,2018-09-21,this moisturizer was very dry and and I’m usually oily/combo so when I put this on and it dried... it DRIED DRIED like I didn’t feel it do anything hydrating to my face even with all these reviews I’m extremely disappointed in this product I had to exchange it quick because I didn’t want a dry face.,,medium,brown,combination,black,P122900,Dramatically Different Moisturizing Gel,CLINIQUE,32.5
